timestamp,error_m
1.780397396710419893e+09,1.587309811087347668e+02
1.780397396810442209e+09,1.587313093799751869e+02
1.780397396910541534e+09,1.587304300658055070e+02
1.780397397010638475e+09,1.587307220089066675e+02
1.780397397110699892e+09,1.587306775585491039e+02
1.780397397210754633e+09,1.587308161238367745e+02
1.780397397310755253e+09,1.587319952049119252e+02
1.780397397410691261e+09,1.587319208831684989e+02
1.780397397510681629e+09,1.587301360570395445e+02
1.780397397610757589e+09,1.587297799740358357e+02
1.780397397710859299e+09,1.587211418135031238e+02
1.780397397810902834e+09,1.587209508906660460e+02
1.780397397910864353e+09,1.586746677119691640e+02
1.780397398010819674e+09,1.586748337220535916e+02
1.780397398110766649e+09,1.585592484266117594e+02
1.780397398210762501e+09,1.585594275407329405e+02
1.780397398310749769e+09,1.583751625763087247e+02
1.780397398410750151e+09,1.583752920169145568e+02
1.780397398510803938e+09,1.581537422198234708e+02
1.780397398610876322e+09,1.581540186175434997e+02
1.780397398710901737e+09,1.579556996540431157e+02
1.780397398810880661e+09,1.579561700383470679e+02
1.780397398910802126e+09,1.578153330347117560e+02
1.780397399010632515e+09,1.578157943374159231e+02
1.780397399110383272e+09,1.576846507297067035e+02
1.780397399210221767e+09,1.576850624002177597e+02
1.780397399310090065e+09,1.575470129293597097e+02
1.780397399410166740e+09,1.575468262150049270e+02
1.780397399510272503e+09,1.573976955598364782e+02
1.780397399610374689e+09,1.573971706735716225e+02
1.780397399710492134e+09,1.572727857556066908e+02
1.780397399810635567e+09,1.572722823876257223e+02
1.780397399910855532e+09,1.571596698276352413e+02
1.780397400111113071e+09,1.570709920466142080e+02
1.780397400211056948e+09,1.570708902682860924e+02
1.780397400310921192e+09,1.569686189862236176e+02
1.780397400410765886e+09,1.569687167455959127e+02
1.780397400510685205e+09,1.568592458097157305e+02
1.780397400610600233e+09,1.568593262969110640e+02
1.780397400710476875e+09,1.567393323311382858e+02
1.780397400810323238e+09,1.567395760108107936e+02
1.780397400910165071e+09,1.566002992935326006e+02
1.780397401010026693e+09,1.566004929579050042e+02
1.780397401109951019e+09,1.564543882414918698e+02
1.780397401209934950e+09,1.564542140995631314e+02
1.780397401310018539e+09,1.563097847360446337e+02
1.780397401410100222e+09,1.563092073620875624e+02
1.780397401510240316e+09,1.561746259273681403e+02
1.780397401610393524e+09,1.561739659990894893e+02
1.780397401710584402e+09,1.560389450256855071e+02
1.780397401810760736e+09,1.560387707040711120e+02
1.780397401910824537e+09,1.558956644965294913e+02
1.780397402010703802e+09,1.558961139748035407e+02
1.780397402110559464e+09,1.557668608599733773e+02
1.780397402210397005e+09,1.557677494146883532e+02
1.780397402310162783e+09,1.556321601307765263e+02
1.780397402409896612e+09,1.556328508998436746e+02
1.780397402509675503e+09,1.554910265983068598e+02
1.780397402609497070e+09,1.554910768390220994e+02
1.780397402709562778e+09,1.553535875235303649e+02
1.780397402809813499e+09,1.553528814341160000e+02
1.780397402910191536e+09,1.552168310413505310e+02
1.780397403010632277e+09,1.552161412078300771e+02
1.780397403111002922e+09,1.550773460022737424e+02
1.780397403211124182e+09,1.550772350294704154e+02
1.780397403310970783e+09,1.549364886343684304e+02
1.780397403410681009e+09,1.549372246163681837e+02
1.780397403510314465e+09,1.547932083786850797e+02
1.780397403609961510e+09,1.547941413112807538e+02
1.780397403709588051e+09,1.546686053379713996e+02
1.780397403809501648e+09,1.546690541176182023e+02
1.780397403909569979e+09,1.545374685086150635e+02
1.780397404009766102e+09,1.545373837235391363e+02
1.780397404109987736e+09,1.543940107775054003e+02
1.780397404210216522e+09,1.543935985770887953e+02
1.780397404310277700e+09,1.542577947614722120e+02
1.780397404410266161e+09,1.542575627915057055e+02
1.780397404510205507e+09,1.541279458860818181e+02
1.780397404610275745e+09,1.541277771600651647e+02
1.780397404710377693e+09,1.539851694908765296e+02
1.780397404810528278e+09,1.539850337972332852e+02
1.780397404910651922e+09,1.538480298143423113e+02
1.780397405010656357e+09,1.538482617437309159e+02
1.780397405110606432e+09,1.537162198691931110e+02
1.780397405210518599e+09,1.537165083520404494e+02
1.780397405310420513e+09,1.535729648699876861e+02
1.780397405410351515e+09,1.535729266391218744e+02
1.780397405510332108e+09,1.534513215339864303e+02
1.780397405610416651e+09,1.534509952858753650e+02
1.780397405710550547e+09,1.533320339329083026e+02
1.780397405810674667e+09,1.533313202373060733e+02
1.780397405910801649e+09,1.532223210197951744e+02
1.780397406010897398e+09,1.532215106756362104e+02
1.780397406110981703e+09,1.531212264535672318e+02
1.780397406211051702e+09,1.531206924242740968e+02
