timestamp,est_x,est_y,est_z,gt_x,gt_y,gt_z
1.780397398410750151e+09,-1.093950396233094722e+02,-1.089660019090525509e+02,-3.680840041023702014e+01,-1.662538922899597094e-01,-3.673379662144680702e-01,4.449200000000175237e-02
1.780397398510803938e+09,-1.093945090370062019e+02,-1.089662124691221976e+02,-3.680979084852470606e+01,-2.779031587264269576e-01,-5.758147214263330538e-01,3.711099999999944998e-02
1.780397398610876322e+09,-1.093935632448649216e+02,-1.089672840778304845e+02,-3.681062569581720112e+01,-2.779031587264269576e-01,-5.758147214263330538e-01,3.711099999999944998e-02
1.780397398710901737e+09,-1.093934158893630695e+02,-1.089677674156136078e+02,-3.681118637481938549e+01,-3.902091466740322256e-01,-7.492163380665489703e-01,2.696200000000104069e-02
1.780397398810880661e+09,-1.093930145973918542e+02,-1.089682931056835002e+02,-3.681284636840499047e+01,-3.902091466740322256e-01,-7.492163380665489703e-01,2.696200000000104069e-02
1.780397398910802126e+09,-1.093928318915580604e+02,-1.089686762228657244e+02,-3.681447593055568746e+01,-4.807252327376594359e-01,-8.642435086637568764e-01,2.658800000000027808e-02
1.780397399010632515e+09,-1.093927022627423895e+02,-1.089690080967517076e+02,-3.681586136373486084e+01,-4.807252327376594359e-01,-8.642435086637568764e-01,2.658800000000027808e-02
1.780397399110383272e+09,-1.093923767094720745e+02,-1.089693342648463243e+02,-3.681729303598864078e+01,-5.582983147049798145e-01,-9.755674547318730072e-01,1.935699999999940246e-02
1.780397399210221767e+09,-1.093923527192924894e+02,-1.089697683485793078e+02,-3.681785352576020642e+01,-5.582983147049798145e-01,-9.755674547318730072e-01,1.935699999999940246e-02
1.780397399310090065e+09,-1.093919178462293758e+02,-1.089700583267362930e+02,-3.681928641099198529e+01,-6.416957217226300081e-01,-1.099905020860943550e+00,3.828400000000087289e-02
1.780397399410166740e+09,-1.093911219417051655e+02,-1.089701693864144261e+02,-3.682051159821696729e+01,-6.416957217226300081e-01,-1.099905020860943550e+00,3.828400000000087289e-02
