timestamp,error_m
1.780397396710419893e+09,3.510572984850009703e+01
1.780397396810442209e+09,3.510498295923541434e+01
1.780397396910541534e+09,3.499539032146504525e+01
1.780397397010638475e+09,3.499430225948737672e+01
1.780397397110699892e+09,3.477374015359155379e+01
1.780397397210754633e+09,3.477258173786338347e+01
1.780397397310755253e+09,3.448540678277463201e+01
1.780397397410691261e+09,3.448424875589854821e+01
1.780397397510681629e+09,3.425936023109182571e+01
1.780397397610757589e+09,3.426050922701796253e+01
1.780397397710859299e+09,3.407360509662179737e+01
1.780397397810902834e+09,3.407324295021095395e+01
1.780397397910864353e+09,3.380444374028360244e+01
1.780397398010819674e+09,3.380427285066100751e+01
1.780397398110766649e+09,3.354625741993643828e+01
1.780397398210762501e+09,3.354655935365616415e+01
1.780397398410750151e+09,3.330300235442123835e+01
1.780397398510803938e+09,3.330328276953120081e+01
1.780397398610876322e+09,3.314465052779541310e+01
1.780397398710901737e+09,3.314459577408464241e+01
1.780397398810880661e+09,3.300201944157407041e+01
1.780397398910802126e+09,3.300257009055859925e+01
1.780397399010632515e+09,3.294749132335942221e+01
1.780397399110383272e+09,3.293953024327868917e+01
1.780397399210221767e+09,3.293958050965627393e+01
1.780397399310090065e+09,3.295888214077781697e+01
1.780397399410166740e+09,3.295896048856565130e+01
1.780397399510272503e+09,3.299567281317342093e+01
1.780397399610374689e+09,3.299563521475272410e+01
1.780397399710492134e+09,3.303677320533159190e+01
1.780397399810635567e+09,3.303797547762412279e+01
1.780397399910855532e+09,3.307262298187262672e+01
1.780397400013623476e+09,3.307234021100209276e+01
1.780397400111113071e+09,3.310608214841325747e+01
1.780397400211056948e+09,3.310578711858052259e+01
1.780397400310921192e+09,3.313122166597672447e+01
1.780397400410765886e+09,3.313085885680212073e+01
1.780397400510685205e+09,3.314632602656605798e+01
1.780397400610600233e+09,3.314624207681580259e+01
1.780397400710476875e+09,3.315597438373362138e+01
1.780397400810323238e+09,3.315608762746176552e+01
1.780397400910165071e+09,3.317546049204146641e+01
1.780397401010026693e+09,3.317568298904351565e+01
1.780397401209934950e+09,3.319324054887090369e+01
1.780397401310018539e+09,3.319335930713322824e+01
1.780397401410100222e+09,3.321162623983951079e+01
1.780397401510240316e+09,3.323922979628366647e+01
1.780397401610393524e+09,3.323922291054408618e+01
1.780397401710584402e+09,3.327280003585482149e+01
1.780397401810760736e+09,3.327287224716405234e+01
1.780397401910824537e+09,3.327382442974544574e+01
1.780397402010703802e+09,3.327404732983352886e+01
1.780397402110559464e+09,3.321915429807549458e+01
1.780397402210397005e+09,3.321908637070113457e+01
1.780397402310162783e+09,3.315361826385450428e+01
1.780397402409896612e+09,3.315379495958212175e+01
1.780397402509675503e+09,3.309814347266100754e+01
1.780397402609497070e+09,3.309794766342708527e+01
1.780397402709562778e+09,3.302313901429714349e+01
1.780397402809813499e+09,3.302278370623006509e+01
1.780397402910191536e+09,3.291664097601996275e+01
1.780397403010632277e+09,3.291617732619887704e+01
1.780397403111002922e+09,3.279867727215567186e+01
1.780397403211124182e+09,3.279839414228322170e+01
1.780397403310970783e+09,3.268915798944284745e+01
1.780397403410681009e+09,3.268926099482538206e+01
1.780397403510314465e+09,3.257585957150171652e+01
1.780397403609961510e+09,3.257605032864683636e+01
1.780397403709588051e+09,3.246490143351283564e+01
1.780397403809501648e+09,3.246495458760863073e+01
1.780397404009766102e+09,3.235880655670415962e+01
1.780397404210216522e+09,3.225430379900927136e+01
1.780397404410266161e+09,3.215277809061108627e+01
1.780397404510205507e+09,3.215310745972707451e+01
1.780397404610275745e+09,3.206891061589025327e+01
1.780397404710377693e+09,3.206928122765124556e+01
1.780397404810528278e+09,3.201895803487034442e+01
1.780397404910651922e+09,3.198364190870441703e+01
1.780397405010656357e+09,3.198375130744019046e+01
1.780397405110606432e+09,3.192486598204892090e+01
1.780397405210518599e+09,3.192481888030592430e+01
1.780397405410351515e+09,3.182140133462361220e+01
1.780397405510332108e+09,3.169628974127640575e+01
1.780397405610416651e+09,3.169590844039530708e+01
1.780397405710550547e+09,3.154217816427746257e+01
1.780397405810674667e+09,3.154162406824568876e+01
1.780397405910801649e+09,3.138361091349078080e+01
1.780397406010897398e+09,3.138285828440602998e+01
1.780397406110981703e+09,3.121541241817736179e+01
1.780397406211051702e+09,3.121474441410736489e+01
1.780397406311126709e+09,3.106863269887197987e+01
1.780397406411099195e+09,3.106834357388073187e+01
1.780397406511106491e+09,3.093470540306694261e+01
1.780397406611061335e+09,3.093466932223082821e+01
1.780397406710998774e+09,3.080475519842325483e+01
1.780397406810771704e+09,3.080455420062988381e+01
1.780397406910421610e+09,3.069368090303930074e+01
1.780397407010046959e+09,3.069346760206250124e+01
1.780397407109778166e+09,3.058600054316255878e+01
1.780397407209627628e+09,3.058564104512426240e+01
1.780397407309567451e+09,3.046792892024276611e+01
1.780397407409612179e+09,3.046755012456115352e+01
1.780397407509791851e+09,3.034490398886916296e+01
1.780397407609990835e+09,3.034464840536898578e+01
1.780397407710083246e+09,3.021220450082031661e+01
1.780397407810034990e+09,3.021184302209970340e+01
1.780397407909888983e+09,3.008471809742751546e+01
1.780397408009831667e+09,3.008446014341768304e+01
1.780397408209759712e+09,3.004471099365403219e+01
1.780397408309761047e+09,3.004471896691771704e+01
1.780397408409851313e+09,3.004809069228753415e+01
1.780397408509962082e+09,3.004824245578376463e+01
1.780397408610068560e+09,3.011882418507906323e+01
1.780397408710069656e+09,3.011891934593222331e+01
1.780397408809970140e+09,3.016432003280876728e+01
1.780397408909797907e+09,3.026587718607170174e+01
